iddespesa,alimentacao
513383,48.0
513384,276.0
513385,180.0
513386,288.0
513387,288.0
513388,144.0
513389,168.0
513390,180.0
513391,180.0
513392,168.0
513393,180.0
513394,180.0
513395,144.0
513396,288.0
513397,288.0
513398,180.0
513399,288.0
513400,288.0
513401,144.0
513402,180.0
513403,288.0
513404,180.0
513405,288.0
513406,168.0
513407,288.0
513408,180.0
513409,288.0
513410,180.0
513411,288.0
513412,144.0
513413,180.0
513429,144.0
513541,280.0
513640,522.0
513647,1628.95
513661,24.0
514096,2469.41
514097,50.0
514098,1860.0
514132,22.5
