iddespesa,alimentacao
10948,65.53
10933,173.0
10906,570.0
10901,176.46
10938,296.34
10905,300.0
10903,110.0
10871,186.52
10868,90.0
10867,420.0
10866,90.0
10831,420.0
10875,296.26
10865,405.0
