iddespesa,medicos
14720,900.0
14832,430.0
14840,1060.0
14841,480.0
14845,1150.0
14847,900.0
14854,900.0
14860,1060.0
14861,1120.0
14863,675.0
14864,1390.0
14867,810.0
14868,430.0
14869,480.0
14879,1060.0
14880,480.0
14886,1150.0
14888,900.0
14899,900.0
14909,1060.0
14910,1120.0
14912,675.0
14913,1390.0
14916,430.0
14917,480.0
14922,1060.0
14923,480.0
14930,1150.0
14932,900.0
14937,900.0
14946,1060.0
14947,1120.0
14949,675.0
14950,1390.0
14953,810.0
14954,430.0
14955,480.0
14960,1060.0
14962,480.0
14965,1150.0
14967,900.0
14976,900.0
14983,1060.0
14984,1120.0
14986,675.0
14987,1390.0
14988,1200.0
14993,1100.0
15003,1060.0
15004,480.0
15007,1100.0
15016,1120.0
15106,1145.0
