iddespesa,alimentacao
869422,5620.0
869415,36.92
869414,50.0
869409,36.66
869408,80.0
869396,31.41
869395,40.0
869392,25.69
869391,90.0
869379,26.19
869378,10.0
869374,150.6
869364,12.9
869363,38.48
869267,1742.0
869362,80.0
867694,33.21
867693,40.0
867687,38.74
867686,40.0
867677,37.73
867676,40.0
867674,26.04
867673,60.0
867670,25.75
867669,50.0
867659,26.04
867658,60.0
867651,26.88
869181,1755.0
867650,50.0
867639,37.99
867638,50.0
867626,39.15
867625,50.0
867619,187.0
867613,609.0
867599,38.28
867598,70.0
867436,37.24
867435,50.0
867432,22.85
867431,80.0
867426,27.03
868031,2223.0
867425,60.0
867237,40.9
867232,39.67
867231,60.0
867192,38.16
867191,60.0
867159,36.45
867158,70.0
867156,228.8
867145,46.14
867144,70.0
867125,39.24
867124,50.0
867116,26.45
867115,30.0
867098,23.06
867875,1898.0
867096,60.0
867070,38.25
867570,2039.4
867069,60.0
867056,37.27
867055,60.0
867040,37.7
867039,40.0
867032,36.86
867564,224.42
867031,80.0
867565,187.0
