iddespesa,medicos
18288,860.0
18290,460.0
18322,1000.0
18345,1000.0
18346,1000.0
18347,460.0
18674,1245.0
18382,720.0
18406,860.0
18459,720.0
18518,720.0
18530,860.0
18305,510.0
18408,510.0
18422,510.0
18478,510.0
18487,510.0
18532,510.0
18549,510.0
18362,800.0
18385,1200.0
18449,800.0
18462,1200.0
18286,625.0
18302,1130.0
18378,1130.0
18404,625.0
18419,1130.0
18455,1130.0
18475,625.0
18675,1200.0
18484,1130.0
18514,1130.0
18528,625.0
18546,1130.0
18318,1220.0
18429,1220.0
18497,1220.0
18559,1220.0
18150,1100.0
18321,950.0
18432,950.0
18500,950.0
18148,950.0
18343,950.0
18440,950.0
18576,950.0
18293,1100.0
18309,1100.0
18410,1100.0
18426,1100.0
18480,1100.0
18491,1100.0
18534,1100.0
18553,1100.0
18384,1470.0
18461,1470.0
18520,1470.0
18380,1190.0
18457,1190.0
18516,1190.0
18594,1190.0
18596,720.0
18695,20.0
18604,510.0
18563,1000.0
18598,1470.0
18592,1130.0
18601,625.0
18735,990.0
18606,1100.0
18692,1100.0
