iddespesa,alimentacao
815571,187.0
815560,6150.0
815559,35.74
815558,40.0
815554,35.93
815553,50.0
815545,32.0
815543,1601.5
815541,1402.32
815529,33.76
815528,60.0
815525,24.95
815524,60.0
815169,24.87
815518,2288.0
815168,60.0
815162,107.8
815160,35.39
815159,40.0
815153,88.24
815152,33.87
815151,50.0
815143,86.9
815142,34.82
815141,50.0
815137,35.36
815136,50.0
815125,34.41
815124,50.0
815122,23.78
815121,50.0
815118,24.46
815117,60.0
815112,2041.0
815109,36.53
815108,30.0
815002,36.2
815001,50.0
814997,35.06
814996,70.0
814991,170.0
814986,35.17
814985,60.0
814957,35.71
814956,60.0
814954,24.87
814953,50.0
814948,21.85
814947,60.0
814847,5.0
814844,1872.0
814824,34.68
814823,40.0
814807,35.93
814806,40.0
814758,34.93
814757,50.0
814738,34.25
814737,90.0
814638,35.14
814637,60.0
814636,25.9
814634,24.05
814633,50.0
814626,1651.0
814624,34.87
814623,70.0
814480,34.82
814479,60.0
814299,36.64
814298,60.0
814284,37.59
814283,40.0
814281,60.0
814277,23.92
814276,60.0
814271,25.93
814270,60.0
