iddespesa,alimentacao
511295,268.58
511290,50.0
511291,50.0
511285,96.0
511286,36.0
510960,144.0
510961,180.0
510962,144.0
510963,276.0
510964,180.0
510965,264.0
510966,144.0
510967,265.0
510968,168.0
510969,180.0
510970,180.0
510971,180.0
510972,180.0
510973,144.0
510974,264.0
510975,180.0
510976,265.0
510977,144.0
510978,252.0
510979,168.0
510980,180.0
510981,264.0
510982,132.0
510983,180.0
510984,168.0
510985,144.0
510986,264.0
510987,240.0
510988,60.0
510989,12.0
510990,240.0
510991,156.0
510992,144.0
510993,264.0
510994,180.0
511032,1368.0
511168,50.0
511591,866.0
511593,77.5
511594,2330.14
511598,1523.12
