iddespesa,alimentacao
516748,728.0
516783,2648.42
516808,84.9
516809,55.0
516532,1596.05
516552,276.0
516586,2242.0
516134,180.0
516135,144.0
516136,144.0
516137,180.0
516138,180.0
516139,180.0
515866,144.0
515774,180.0
515775,144.0
515776,240.0
515777,276.0
515778,180.0
515779,276.0
515780,276.0
515783,144.0
515784,180.0
515787,180.0
515788,180.0
515789,276.0
515790,276.0
515791,180.0
515792,276.0
515793,276.0
515794,168.0
515795,144.0
515796,180.0
515797,276.0
515798,276.0
515799,180.0
515800,180.0
515801,276.0
515802,276.0
515803,144.0
515804,180.0
515805,276.0
