iddespesa,alimentacao
478871,12.0
478872,62.2
478873,48.0
478875,77.74
478878,24.0
478880,24.0
478881,83.17
478882,12.0
478884,15.0
478885,84.0
478887,192.0
478888,192.0
478889,182.0
478890,192.0
478891,240.0
478892,192.0
478893,144.0
478900,12.0
478902,109.98
478903,12.0
478904,83.65
478905,96.0
478909,276.0
478910,276.0
478911,276.0
478912,192.0
478913,276.0
478914,276.0
478915,276.0
478916,276.0
478917,264.0
478918,180.0
478919,180.0
478920,180.0
478921,228.0
478922,168.0
478923,192.0
478930,108.0
478931,12.0
478933,71.44
478944,144.0
478945,276.0
478947,96.0
478974,24.0
478975,180.0
478976,144.0
478977,180.0
478990,12.0
478992,72.0
478993,12.0
478994,61.53
478997,57.75
478998,12.0
478999,24.0
479595,12.0
479596,12.0
479597,12.0
479598,96.0
479599,80.87
479605,12.0
479606,72.0
479607,58.0
479608,82.82
479613,81.41
479614,120.0
479615,12.0
479618,108.0
479619,12.0
479620,106.34
479626,108.0
479627,12.0
479630,83.35
479637,192.0
479640,217.0
479643,72.0
479644,12.0
479646,81.62
479648,180.0
479650,24.0
479651,12.0
479652,51.84
479655,12.0
479656,12.0
479657,82.08
479658,96.0
479666,82.04
479667,288.0
479679,12.0
479680,12.0
479684,12.0
479685,96.0
479686,82.31
479696,12.0
479697,96.0
479698,124.99
479700,110.04
479706,84.16
479707,48.0
479708,12.0
479709,12.0
479715,60.88
479716,58.03
479717,24.0
479718,195.0
479783,82.58
479785,96.0
479786,12.0
479787,12.0
479791,12.0
479792,96.0
479793,81.94
479804,108.0
479805,12.0
479806,15.0
479807,82.54
479816,108.0
479817,12.0
479818,111.27
479826,108.0
479827,15.0
479828,82.91
479840,130.0
479841,95.99
479842,32.97
479845,96.0
479846,12.0
479847,61.4
479849,24.0
479850,12.0
479851,58.98
479853,108.0
479854,82.63
479874,119.5
479879,82.59
479880,12.0
479881,96.0
