iddespesa,medicos
26265,500.0
26266,810.0
26267,1040.0
26268,525.0
26269,950.0
26270,950.0
26272,840.0
26273,470.0
26274,460.0
26275,950.0
26276,950.0
26277,950.0
26278,1050.0
26279,560.0
26280,630.0
26281,810.0
26282,870.0
26284,525.0
26285,1040.0
26286,540.0
26287,950.0
26288,950.0
26289,1100.0
26290,500.0
26297,940.0
26299,850.0
26300,920.0
26302,525.0
26303,950.0
26304,1070.0
26305,950.0
26319,450.0
26408,1070.0
26409,400.0
26410,1050.0
26411,950.0
26412,950.0
26432,950.0
26433,950.0
26434,1050.0
26435,630.0
26436,1050.0
26437,950.0
26438,950.0
26439,950.0
26440,950.0
26441,1050.0
26442,460.0
26443,800.0
26445,630.0
26450,840.0
26451,950.0
26452,1050.0
26454,315.0
26455,950.0
26456,950.0
26469,525.0
26470,1040.0
26471,950.0
26472,500.0
26473,950.0
26476,870.0
26477,810.0
26478,450.0
26491,950.0
26492,950.0
26493,1050.0
26494,850.0
26495,940.0
26496,950.0
26497,525.0
26531,950.0
26532,1070.0
26533,1000.0
26535,660.0
26536,1050.0
26537,950.0
26543,400.0
26544,450.0
26559,470.0
26566,950.0
26567,950.0
26568,1050.0
26569,950.0
26570,1320.0
26571,950.0
26572,950.0
26573,1050.0
26578,525.0
26579,1050.0
26580,950.0
26581,1370.0
26582,525.0
26583,950.0
26584,950.0
26594,660.0
26601,460.0
26603,470.0
26604,470.0
26608,630.0
26619,950.0
26620,1050.0
26621,950.0
26622,950.0
26624,315.0
26625,840.0
26635,870.0
26636,810.0
26637,525.0
26638,1040.0
26639,950.0
26640,950.0
26641,1100.0
26642,500.0
26644,450.0
26654,810.0
26666,950.0
26667,950.0
26668,1050.0
26669,940.0
26670,950.0
26671,525.0
26673,380.0
26674,560.0
26686,400.0
26687,950.0
26688,1070.0
26689,1000.0
26690,470.0
26691,1050.0
26692,950.0
26698,450.0
26708,950.0
26709,950.0
26710,1050.0
26711,380.0
26712,1050.0
26713,950.0
26714,950.0
26726,470.0
26739,950.0
26740,525.0
26741,1050.0
26742,950.0
26743,1370.0
26744,950.0
26751,470.0
26753,950.0
26754,1050.0
26756,640.0
26758,840.0
26759,315.0
26762,630.0
26770,460.0
26803,450.0
26811,870.0
26818,950.0
26821,810.0
26826,525.0
26829,525.0
26830,1040.0
26831,810.0
26832,950.0
26833,950.0
26834,500.0
26935,525.0
26941,950.0
26942,950.0
26943,1050.0
26944,850.0
26945,940.0
26946,950.0
26947,525.0
26961,840.0
26963,1070.0
26965,470.0
26966,400.0
26967,450.0
26968,950.0
26969,1000.0
26970,1050.0
26971,950.0
27085,470.0
27100,950.0
27101,950.0
27102,630.0
27104,950.0
27105,735.0
27106,1050.0
27107,950.0
27108,950.0
27110,950.0
27111,525.0
27112,1050.0
27113,1050.0
27114,950.0
27115,1370.0
27116,525.0
27117,950.0
27132,470.0
27136,460.0
27139,840.0
27144,630.0
27146,950.0
27147,1050.0
27148,950.0
27149,950.0
27151,315.0
27164,810.0
27167,870.0
27169,525.0
27170,450.0
27205,950.0
27206,950.0
27207,525.0
27208,1040.0
27209,1100.0
27210,500.0
