iddespesa,alimentacao
474836,80.62
474830,12.0
474831,108.0
474832,108.0
474949,12.0
474950,12.0
474951,12.0
474953,60.58
474954,55.46
474955,80.66
474956,84.0
474958,24.0
474997,108.0
474768,80.42
474769,108.7
474772,12.0
474773,12.0
474774,15.0
474775,120.0
474473,80.39
474474,58.67
474462,12.0
474463,12.0
474464,15.0
474465,15.0
474466,12.0
474467,96.0
474468,108.0
474635,57.11
474636,79.67
474637,80.5
474638,18.0
474625,12.0
474626,12.0
474627,12.0
474628,15.0
474629,60.0
474630,24.0
474631,120.0
474632,84.0
474346,12.0
474347,12.0
474348,14.0
474349,15.0
474350,84.0
474353,120.0
474362,80.94
474363,108.83
474356,114.9
474357,100.0
474233,12.0
474234,96.0
474235,79.78
474236,15.0
473479,300.0
473481,12.0
473482,12.0
473483,12.0
473484,15.0
473485,108.0
473486,108.0
473487,74.09
473488,103.09
473546,12.0
473547,15.0
473548,15.0
473549,68.99
473550,84.0
473551,84.0
473553,80.94
473386,73.86
473295,147.99
473296,32.0
473297,54.06
473298,55.69
473299,78.11
473380,12.0
473381,96.0
473382,12.0
473383,15.0
473283,15.0
473284,12.0
473285,12.0
473286,12.0
473288,72.0
473292,72.0
473293,24.0
473303,180.0
473304,180.0
473305,144.0
473306,192.0
473307,168.0
473308,180.0
473309,180.0
473310,180.0
473311,192.0
473312,192.0
473313,192.0
473314,264.0
473315,264.0
473316,264.0
473317,168.0
473318,252.0
473319,180.0
473320,192.0
473321,192.0
473322,180.0
473323,264.0
473324,264.0
473325,264.0
473326,264.0
473327,264.0
473328,264.0
473329,264.0
473330,264.0
473331,264.0
473332,264.0
474102,14.0
474103,12.0
474104,12.0
474107,108.0
474111,72.0
474113,24.0
474114,60.34
474115,56.36
474116,80.36
473903,96.0
473904,84.0
473906,48.0
473908,80.28
473909,59.06
473910,109.29
473919,10.0
473985,12.0
473986,30.0
473987,15.0
473988,96.0
473989,80.96
473507,192.0
473740,59.97
473741,56.76
473742,80.16
473729,12.0
473730,12.0
473731,12.0
473733,12.0
473735,84.0
473737,18.5
473895,15.0
473896,12.0
473897,15.0
473898,15.0
473899,12.0
473900,12.0
