iddespesa,alimentacao
872906,6650.0
872897,37.12
872856,2390.0
871755,3354.0
872896,70.0
872886,36.66
872885,60.0
872272,36.92
872271,70.0
872260,38.74
872259,70.0
872242,76.58
872223,37.79
872222,60.0
872218,29.64
872217,60.0
872112,20.71
872772,2145.0
872111,50.0
872101,38.69
872100,80.0
872097,38.19
872096,60.0
872082,36.71
872207,125.0
872081,70.0
872074,37.73
872073,60.0
872066,36.51
872065,90.0
872062,23.26
872061,60.0
872039,26.85
872652,1898.0
872038,50.0
872032,226.6
872021,38.22
872020,60.0
872015,170.0
872012,40.05
872011,80.0
872000,39.99
871999,40.0
871993,39.15
871992,60.0
871974,32.28
871973,30.0
871971,45.0
871963,31.12
871962,40.0
871957,26.3
872511,2028.0
871956,50.0
871952,61.34
871941,36.98
871940,70.0
871915,37.17
871914,40.0
871902,37.35
871901,60.0
871845,37.61
871844,40.0
871821,36.83
871820,50.0
871816,25.84
871815,40.0
871809,22.04
872323,2131.0
871808,70.0
871798,33.8
871787,38.11
871786,50.0
871779,23.29
871778,60.0
871776,153.0
871771,180.0
871764,180.0
