iddespesa,alimentacao
876087,7280.0
876063,36.45
876062,50.0
876057,22.68
876056,40.0
876050,26.42
876049,30.0
875965,1833.0
875452,306.0
875444,35.61
875443,50.0
875439,38.34
875438,40.0
875426,37.73
875425,20.0
875412,38.45
875411,60.0
875410,165.14
875394,16.8
875393,60.0
875388,29.78
875387,40.0
875380,29.52
875859,1846.0
875379,40.0
875368,37.06
875365,40.0
875355,26.25
875354,60.0
875345,37.12
876041,4627.47
875344,60.0
875342,214.0
875335,38.02
875334,60.0
875313,37.38
875312,60.0
875305,25.87
875304,50.0
875297,21.75
875755,156.75
875754,78.0
875742,1820.0
875296,30.0
875285,38.95
875284,20.0
875283,45.0
875280,37.06
875760,153.0
875758,84.0
875279,50.0
875235,37.21
875234,70.0
875227,228.8
875197,37.21
875196,40.0
875175,36.74
875174,50.0
875170,30.39
875169,80.0
875160,22.56
875621,2119.0
875159,50.0
875151,37.12
875150,50.0
875141,37.96
875140,60.0
875118,39.09
875117,60.0
875107,34.19
875106,60.0
875096,221.0
875092,38.08
875091,50.0
875089,26.07
875088,60.0
875083,19.4
875082,90.0
