iddespesa,alimentacao
806991,35.5
806990,50.0
806989,127.0
806983,9.98
806980,34.27
806979,80.0
806977,23.43
806976,70.0
806971,23.57
806970,60.0
806762,2314.0
806758,86.46
806755,31.5
806753,33.43
806752,80.0
806746,34.57
806745,60.0
806735,35.71
806734,70.0
806680,35.14
806679,70.0
806673,36.42
806672,50.0
806670,23.84
806669,70.0
806605,24.08
806604,90.0
806588,1872.0
806587,183.1
806586,35.88
806585,50.0
806579,68.91
806576,34.6
806575,70.0
806567,34.9
806566,50.0
806558,34.63
806557,80.0
806508,64.95
806505,33.95
806504,60.0
806502,24.0
806500,24.08
806499,60.0
806496,170.0
806350,24.68
806349,70.0
806339,1781.0
806257,33.78
806256,70.0
806251,24.16
806250,70.0
806238,36.37
806875,4600.52
806237,80.0
806227,64.0
806223,42.51
805673,35.77
805672,12.9
805671,60.0
805661,145.44
805657,50.0
805655,22.7
805654,40.0
805650,23.51
807003,6550.0
805649,80.0
805642,168.21
805640,2015.0
805633,34.82
805632,60.0
805621,36.07
805620,80.0
805603,129.0
805577,37.18
805576,70.0
805497,36.23
805496,40.0
805483,35.55
805482,70.0
805480,25.55
805479,50.0
805476,25.66
805475,62.0
