iddespesa,alimentacao
37985,9.0
37982,12.27
37981,100.0
37980,40.0
37979,60.0
37978,50.0
37977,100.0
37976,60.0
37975,50.0
37973,28.4
37972,30.0
37955,43.88
37946,21.0
37945,24.9
37929,20.0
37913,25.9
37904,9.0
37894,54.51
37891,29.94
37890,21.0
37889,430.0
37879,20.0
37852,85.21
37851,52.56
37839,9.0
37838,10.0
37814,21.0
37811,28.4
37810,100.0
37809,40.0
37808,70.0
37807,50.0
37806,28.4
37803,9.0
37801,29.94
37800,100.0
37799,50.0
37798,50.0
37797,100.0
37764,99.25
37763,10.0
37754,100.0
37715,50.0
37707,8.4
37706,34.9
37705,18.0
37704,30.0
37695,60.0
37691,9.0
37675,190.0
37674,46.0
37673,196.83
37672,50.0
