iddespesa,medicos
518938,1420.0
518939,630.0
518940,1420.0
518941,800.0
518942,1200.0
518943,610.0
518944,1070.0
518946,610.0
518947,350.0
518948,680.0
518949,1420.0
518950,1326.0
518951,1420.0
518952,1010.0
518953,1090.0
518954,1390.0
518955,1326.0
518956,880.0
519004,860.0
519005,1130.0
519007,1186.0
519008,903.0
519010,1186.0
519011,1312.0
519012,800.0
519013,630.0
519014,1420.0
519015,1185.99
519016,1186.0
519018,1186.0
519021,1186.0
519022,1326.0
519024,350.0
519025,1420.0
519026,1010.0
519027,880.0
519028,1326.0
519029,903.0
519030,1420.0
519032,1185.99
519034,1420.0
519035,800.0
519036,1420.0
519037,1326.0
519038,1090.0
519039,880.0
519040,903.0
519041,1130.0
519108,640.0
519109,800.0
519159,1186.0
519160,610.0
519161,610.0
519162,610.0
519163,610.0
519164,610.0
519165,1040.0
519166,1302.0
519167,1302.0
519168,1302.0
519169,1186.0
519171,1301.99
519172,1200.0
519173,1186.0
519174,1186.01
519175,1070.0
519176,1070.0
519177,1186.0
519178,1186.0
519181,1186.0
519182,1342.0
519183,562.0
519186,1130.0
519187,830.0
519188,845.0
519198,766.0
519199,766.0
519200,1470.0
519203,1420.0
519204,1420.0
519205,1186.0
519206,1186.01
519208,1308.0
519207,1420.0
519209,1270.0
519210,1333.0
519211,1333.0
519213,1270.0
519214,1130.0
519215,1186.0
519219,1308.0
519216,1070.0
519223,1186.0
519224,1270.0
519226,1070.0
519227,1470.0
519228,680.0
519229,1270.0
519230,610.0
519231,610.0
519232,610.0
519233,610.0
519234,610.0
519235,610.0
519236,845.0
519237,1186.0
519238,1070.0
519239,1040.0
519241,1420.0
519242,1420.0
519243,1186.0
519244,1186.0
519245,1130.0
519246,1333.0
519247,1333.0
519248,1302.0
519249,1302.0
519250,1186.0
519251,1302.0
519252,1302.0
519254,766.0
519255,766.0
519256,1270.0
519260,1342.0
519261,976.0
519033,1186.0
519262,1312.0
519263,1186.0
519264,1200.0
519266,1130.0
519267,1129.99
519268,1130.0
519269,1308.0
519270,1420.0
519271,1070.0
519272,1390.0
519273,1470.0
519274,1130.0
519275,680.0
519276,1270.0
519277,1040.0
519278,1070.0
519279,845.0
519280,1186.0
519281,1186.0
519282,1130.0
519283,1130.0
519284,1420.0
519285,1420.0
519286,1342.01
519287,766.0
519288,766.0
519289,1270.0
519290,1333.0
519291,1333.0
519292,976.0
519295,1185.99
519296,1186.0
519298,1200.0
519299,1130.0
519301,1129.99
519302,1185.99
519303,1186.0
519304,830.0
519305,1420.0
519306,1308.0
519307,1129.99
519308,1130.0
519309,1470.0
519310,1070.0
519311,1270.0
519312,680.0
519313,1040.0
519315,1070.0
519316,845.0
519317,1186.0
519318,1302.0
519319,1186.0
519320,1302.0
519321,1302.0
519322,1302.0
519323,1186.0
519325,1186.0
519326,592.0
519329,1130.0
519330,1312.5
519331,1186.5
519332,1186.51
519333,1186.5
519334,1186.49
519335,640.0
519336,640.0
519337,640.0
519107,610.0
519338,1186.0
519339,835.0
519340,1420.0
519341,1420.0
519417,1420.0
519418,640.0
519419,1420.0
519484,1390.0
519485,1130.0
519489,1342.51
519490,976.0
519491,1130.0
519492,766.0
519493,766.0
519494,1333.0
519495,1333.0
519496,1270.0
519513,1090.0
519514,1130.0
519515,630.0
519516,1326.05
519517,1420.0
519518,350.0
519519,1010.0
519521,860.0
519522,860.0
519523,1130.0
519524,1185.99
519525,1186.0
519529,630.0
519294,1302.0
519530,1070.0
519534,1420.0
519535,350.0
519536,1326.0
519537,1130.0
519538,1420.0
519539,1010.0
519540,1090.0
519531,1186.0
519575,880.0
519576,1326.0
519577,1130.0
519578,860.0
519580,900.0
519581,630.0
519582,800.0
519583,1420.0
519586,1420.0
519596,1313.0
519598,1185.99
519597,1186.0
519599,1186.0
519600,640.0
519601,640.0
519602,640.0
519603,640.0
519604,640.0
519605,640.0
519606,1200.0
519607,1130.0
519608,1130.0
519609,1130.0
519610,1129.99
519486,1302.0
519487,1186.0
519488,1302.0
519611,1186.0
519612,1302.0
519615,1185.99
519621,1130.0
519622,1186.0
519614,1186.0
519624,1070.0
519625,1420.0
519627,1304.0
