iddespesa,alimentacao
840128,34.76
840083,2197.0
840127,50.0
840123,73.05
840120,37.67
840119,50.0
840106,36.23
840105,50.0
840098,170.0
839510,37.21
839509,70.0
839501,36.83
839500,60.0
839493,25.39
839492,60.0
839490,24.92
839955,2054.0
839489,50.0
839430,35.17
839486,84.2
839429,60.0
839419,36.94
839418,50.0
839391,34.71
839390,60.0
839384,34.74
839383,50.0
839317,34.5
839316,60.0
839309,23.78
839308,60.0
839302,25.58
839865,2106.0
839355,3280.45
839352,23.0
839301,60.0
839291,35.74
839290,60.0
839278,37.07
839277,50.0
839272,204.0
839270,153.0
839160,36.18
839159,40.0
839129,35.36
839128,50.0
838744,35.88
838743,60.0
838737,22.97
838736,50.0
838729,24.33
839726,2223.0
838728,60.0
838724,208.0
838720,41.5
838517,35.09
838713,10.0
838516,30.0
838485,38.05
838484,50.0
838467,34.19
838466,50.0
838452,35.09
840144,6750.0
838451,50.0
838435,20.8
838434,30.0
838428,26.04
838427,60.0
838419,23.4
839609,2210.0
838418,50.0
838390,36.64
838389,50.0
838377,35.85
838376,40.0
838373,193.0
838369,10.0
