iddespesa,alimentacao
820765,322.03
820772,70.0
820773,36.75
820774,127.67
820777,2158.0
820778,180.0
820779,20.0
820780,210.0
820781,160.0
820790,50.0
820791,25.63
820795,40.0
820796,24.79
820799,40.0
820800,37.21
821051,60.0
821052,35.47
821151,50.0
821152,35.25
821175,40.0
821176,36.0
821304,40.0
821305,34.52
821311,114.05
821321,2158.0
821323,60.0
821324,24.54
821444,50.0
821445,25.22
821452,60.0
821453,36.07
821479,40.0
821480,34.93
821491,60.0
821492,34.17
821507,30.0
821508,36.31
821514,187.0
821528,70.0
821529,33.89
821552,2457.0
821555,50.0
821556,25.1
821563,20.0
821564,23.89
821567,40.0
821568,34.71
821663,60.0
821664,35.91
821674,60.0
821675,35.95
821764,70.0
821765,35.71
821783,50.0
821784,31.39
821785,2314.0
821820,60.0
821821,24.33
821825,50.0
821826,25.49
821829,40.0
821830,38.73
822110,50.0
822111,35.17
822114,50.0
822115,36.18
822125,50.0
822126,35.9
822131,2093.0
822133,40.0
822134,25.71
822140,50.0
822141,27.89
822146,5700.0
