iddespesa,alimentacao
512647,2172.0
512642,110.0
512830,594.0
512816,2362.27
512835,287.29
512451,425.71
512452,341.63
512453,286.47
512454,50.0
512402,144.0
512403,72.0
512404,144.0
512405,192.0
512406,144.0
512407,192.0
512408,192.0
512351,192.0
512352,264.0
512353,276.0
512354,276.0
512355,192.0
512356,276.0
512357,180.0
512358,180.0
512359,144.0
512360,180.0
512361,192.0
512362,60.0
512363,276.0
512364,192.0
512365,276.0
512366,276.0
512367,168.0
512368,144.0
512369,144.0
512370,144.0
512373,276.0
512374,276.0
512375,276.0
512376,180.0
512377,72.0
512378,180.0
512379,276.0
512380,192.0
512381,144.0
512382,276.0
512383,180.0
