iddespesa,alimentacao
62828,190.0
62827,181.0
62816,1595.19
62806,864.0
62803,391.72
62796,1088.0
62878,477.8
62876,6020.0
62862,513.8
62872,552.5
62871,605.5
62864,6930.0
