iddespesa,alimentacao
471561,12.0
471562,12.0
471563,50.0
471568,79.59
471569,54.18
471570,96.0
471652,12.0
471653,12.0
471654,60.0
471655,24.0
471656,51.68
471657,80.27
471789,12.0
471790,12.0
471791,15.0
471792,12.0
471793,100.0
471794,96.0
471795,84.0
471796,48.0
471800,80.53
471801,54.11
471802,108.44
471959,12.0
471960,12.0
471961,72.0
471962,96.0
471964,80.66
471969,244.9
471970,276.0
471971,276.0
471972,276.0
471973,180.0
471974,180.0
471975,180.0
471976,168.0
471977,276.0
471978,180.0
471979,180.0
471980,276.0
471981,264.0
471982,240.0
471983,276.0
471984,276.0
471985,180.0
471986,264.0
471987,264.0
471988,180.0
471989,276.0
471990,180.0
471992,180.0
471993,180.0
471994,276.0
471995,180.0
471996,276.0
471997,180.0
471998,276.0
472000,264.0
472001,252.0
472002,180.0
472003,144.0
472004,192.0
472005,180.0
472006,300.0
472007,180.0
472197,12.0
472198,12.0
472199,12.0
472200,12.0
472201,12.0
472205,108.0
472206,120.0
472207,24.0
472208,60.0
472212,55.42
472213,51.43
472214,79.79
472215,79.69
472216,79.67
472448,12.0
472449,12.0
472450,12.0
472451,12.0
472452,12.0
472453,12.0
472456,96.0
472457,84.0
472458,72.0
472459,84.0
472463,24.0
472464,150.0
472474,108.96
472475,80.35
472476,54.66
472477,51.53
472478,79.44
472644,12.0
472646,96.0
472647,84.0
472648,108.0
472652,80.97
472653,79.84
472719,12.0
472720,109.04
472721,10.5
472749,96.0
472787,12.0
472790,80.81
472883,12.0
472884,12.0
472885,12.0
472886,12.0
472887,96.0
472888,84.0
472889,24.0
472891,54.43
472892,52.76
472893,80.28
472916,120.0
473000,12.0
473001,12.0
473002,84.0
473003,109.6
473004,79.81
473012,96.0
473042,12.0
473043,80.75
473054,120.0
473092,12.0
473093,93.72
473125,30.0
473126,96.0
473171,12.0
473172,74.53
473182,300.0
473186,96.0
