iddespesa,medicos
19491,720.0
19492,660.0
19493,600.0
19494,913.0
19495,500.0
19496,1100.0
19497,1260.0
19498,330.0
19499,540.0
19500,550.0
19501,1100.0
19502,600.0
19503,983.0
19504,550.0
19505,1100.0
19506,913.0
19507,500.0
19508,540.0
19509,1100.0
19510,1265.0
19511,550.0
19512,372.0
19513,900.0
19524,900.0
19526,450.0
19531,440.0
19532,500.0
19546,882.0
19576,360.0
19577,570.0
19578,360.0
19579,460.0
19580,990.0
19589,660.0
19590,550.0
19591,1100.0
19592,720.0
19593,700.0
19611,500.0
19612,1100.0
19613,540.0
19614,1265.0
19620,600.0
19636,900.0
19637,1100.0
19638,550.0
19657,440.0
19658,900.0
19659,882.0
19660,500.0
19661,450.0
19674,570.0
19675,460.0
19676,360.0
19693,700.0
19694,720.0
19695,1100.0
19697,983.0
19698,550.0
19699,660.0
19711,913.0
19712,500.0
19713,540.0
19714,1265.0
19726,660.0
19727,360.0
19733,900.0
19734,1100.0
19735,550.0
19744,900.0
19745,440.0
19746,372.0
19747,450.0
19748,500.0
19749,600.0
19750,882.0
19761,990.0
19762,360.0
19763,570.0
19764,360.0
19791,660.0
19792,550.0
19793,983.0
19794,1100.0
19795,720.0
19800,1265.0
19802,913.0
19803,500.0
19804,1100.0
19805,540.0
19807,600.0
19808,900.0
19809,1100.0
19810,550.0
19811,882.0
19812,600.0
19813,500.0
19814,450.0
19815,440.0
19816,900.0
19818,360.0
19819,1200.0
19820,360.0
19821,460.0
19822,990.0
19862,660.0
19863,983.0
19864,720.0
19865,550.0
19880,500.0
19885,913.0
19886,1265.0
19887,540.0
19888,500.0
19889,1100.0
