idreceita,Mensalidades
3221585,75.74
3169328,204.44
3169313,180.0402
3169324,121.28
3169341,112.43
3169345,135.0
3127845,173.0
3169314,133.0164
3169316,198.758
3169318,172.478
3169347,195.0
3169350,195.0
3169352,72.0
3169354,195.0
3037993,120.4701
3041325,119.3901
3126782,203.34
3145468,173.0
3145585,330.0
3155324,379.6149
3169317,200.872
3169326,408.87
3169337,83.16
3169340,83.16
3169349,195.0
3169355,195.0
3172463,154.0901
3172538,118.3601
3172801,86.4501
3237336,90.0
3045631,89.24
3065679,79.91
3071282,85.88
3128818,138.98
3130174,245.5
3131049,175.64
3133850,90.26
3134178,185.11
3135256,183.66
3135292,210.59
3136512,504.64
3141333,88.25
3141342,151.8
3141798,279.19
3142462,109.57
3143819,85.1
3144217,450.0
3144606,279.54
3144899,297.15
3145262,85.1
3145769,198.76
3149500,113.21
3150709,194.4
3151954,87.18
3152115,104.6
3152116,104.6
3152575,152.7
3152611,103.92
3156029,129.9
3157766,167.74
3158915,171.71
3172524,300.05
3113245,81.36
3127650,130.39
3129049,81.0
3130618,85.5217
3131719,112.31
3135706,166.49
3135937,79.0
3137158,83.16
3138435,67.83
3138621,106.47
3139860,119.0
3139998,741.0
3142257,368.46
3142426,88.61
3142532,225.23
3142675,225.23
3143120,98.74
3143223,199.82
3143693,79.0
3143702,225.23
3143976,110.0
3144059,287.0
3144575,165.17
3144634,203.3
3146571,99.61
3150870,80.3
3153280,122.36
3154797,249.48
3156340,150.84
3157468,79.11
3157480,78.03
3157541,184.97
3157567,205.72
3157605,285.95
3157667,84.88
3157696,83.11
3157747,205.42
3157774,195.76
3157784,83.16
3158393,200.69
3162114,91.4
3162120,193.18
3163295,80.74
3163459,80.66
3163508,161.31
3163573,254.53
3163592,80.6
3163611,159.0
3163622,184.8
3163679,260.16
3163722,186.65
3163819,84.31
3163860,79.0
3163875,148.0
3164446,225.0
3164509,106.06
3164527,79.0
3164793,186.68
3173306,140.07
3173561,184.75
3220992,80.6
3225310,80.84
3230934,657.45
3237363,79.0
3008907,142.8201
3010564,83.13
3013780,211.8
3014850,92.56
3047248,209.91
3047671,87.2401
3052907,200.77
3057393,173.43
3064744,92.56
3072978,164.9601
3095283,198.0
3096095,102.88
3096096,101.96
3107306,481.8528
3125188,132.0
3125422,198.0
3125502,132.0
3125557,330.0
3125755,198.0
3127788,355.6917
3128325,104.3401
3128467,84.7776
3128491,149.45
3128545,187.77
3130232,225.23
3130240,155.5413
3130258,173.0314
3130955,185.02
3130956,185.02
3133217,124.66
3135157,85.99
3135428,83.16
3135557,179.48
3136263,86.4801
3136802,84.32
3137245,226.38
3137878,105.52
3138197,79.0
3138313,131.22
3138882,84.32
3139027,173.0
3141088,126.38
3141089,126.38
3141090,126.38
3141612,181.88
3142241,176.63
3142419,172.26
3142760,120.88
3144658,365.62
3144734,329.35
3145044,187.69
3145223,164.9601
3145648,238.0
3145881,225.23
3146131,84.94
3146591,152.54
3148659,225.23
3149995,378.18
3150131,84.32
3150878,205.7
3152206,225.23
3154428,437.59
3157787,79.0
3158089,142.07
3158254,141.45
3159708,141.45
3161550,97.3023
3162268,227.0
3163024,158.0
3163122,203.58
3163218,80.8407
3163240,85.1
3163631,225.0
3163643,134.74
3163669,225.0
3163692,79.0
3164394,158.0
3164398,198.0
3164783,273.3
3165951,198.0
3168280,208.9318
3168525,287.6
3168593,144.0
3168617,171.92
3168761,204.44
3168895,92.85
3169030,198.0
3169103,86.9177
3169145,274.86
3169252,72.0
3169315,206.4066
3169357,79.5057
3169358,105.129
3169363,77.408
3169365,84.32
3169366,203.34
3169369,83.16
3169372,165.15
3169375,83.16
3169377,152.17
3169384,216.01
3169385,207.23
3169389,366.59
3169390,390.0
3169393,195.0
3170135,127.76
3171840,118.26
3171972,121.06
3172616,423.9966
3172641,144.5701
3173134,234.36
3173239,72.53
3173279,144.5701
3223199,106.0
3229374,179.0
3229927,179.0
3236390,277.0
3236509,225.0
3237403,240.0
3237412,148.0
3237443,162.0
3237534,90.71
3237538,93.0
3237564,227.0
3237738,167.17
3237777,130.0
3237796,85.0
3237826,179.75
3006195,76.11
3014206,99.94
3041531,74.03
3044432,85.46
3046701,126.75
3047653,181.24
3051031,87.34
3052029,86.09
3055347,94.71
3062741,85.84
3064087,210.92
3101793,132.0
3101952,132.0
3125172,221.34
3125881,195.3
3126002,198.0
3126221,260.4
3126767,157.08
3127094,80.53
3127585,73.78
3127641,292.88
3127917,74.17
3127925,167.06
3128302,346.2
3128334,184.56
3128436,167.9901
3129001,303.61
3129042,121.85
3129294,84.62
3129790,158.58
3129928,219.57
3130473,63.87
3130480,271.85
3130542,140.84
3130813,149.72
3131001,198.42
3131109,560.36
3131205,520.32
3131411,182.51
3131584,188.01
3131961,178.74
3132106,114.96
3132349,215.63
3133374,116.86
3133759,84.99
3134010,200.77
3134082,120.28
3135026,200.69
3135098,185.27
3135337,211.21
3135443,380.99
3135549,87.48
3135583,83.16
3135689,94.69
3135855,89.39
3136520,154.46
3136600,83.16
3136777,81.2
3136865,85.47
3136989,219.91
3137061,105.83
3137125,79.0
3137190,422.4
3137212,103.43
3137254,382.24
3137307,330.54
3137340,94.69
3137357,158.0
3137440,81.16
3137546,79.0
3137863,119.0
3137887,187.69
3138955,159.46
3139052,76.35
3139196,165.25
3139250,129.0
3139705,360.39
3139731,204.28
3139882,378.84
3139925,204.44
3139941,193.15
3140590,146.11
3140607,136.54
3141205,321.46
3141229,73.43
3141430,164.65
3141501,164.65
3141565,79.18
3141619,167.88
3141627,213.87
3141710,160.97
3141782,224.17
3142077,262.9
3142144,524.29
3142153,113.52
3142189,441.89
3142216,177.17
3142325,70.54
3142338,162.95
3142374,211.81
3142383,172.26
3142392,89.29
3142401,171.71
3142630,207.66
3142639,135.67
3142666,410.03
3142684,199.82
3142702,158.31
3142726,59.04
3142880,85.0
3142945,419.27
3142980,197.45
3143030,204.44
3143039,225.23
3143057,85.0
3143084,182.81
3143093,200.69
3143111,113.47
3143147,160.09
3143156,203.34
3143186,235.69
3143279,146.58
3143306,401.55
3143315,185.34
3143380,100.99
3143389,182.49
3143398,215.07
3143426,167.48
3143436,115.5
3143465,204.44
3143504,314.73
3143550,375.39
3143559,166.11
3143568,130.52
3143625,99.0
3143649,86.94
3143742,110.0
3143753,83.16
3143771,79.0
3143887,84.06
3144028,167.35
3144029,167.35
3144155,161.46
3144186,186.65
3144203,79.0
3144235,79.0
3144386,184.33
3144431,204.44
3144469,200.69
3144494,104.23
3144509,177.18
3145014,236.94
3145529,196.29
3145621,225.0
3145688,137.43
3147602,110.56
3147781,203.34
3147871,85.07
3148213,83.16
3148470,165.75
3149489,127.05
3149537,181.22
3149675,92.41
3149686,86.73
3149710,85.3
3149848,121.43
3150698,142.02
3150887,83.16
3151047,236.94
3151329,225.23
3152064,225.23
3152501,239.46
3154337,81.12
3154391,225.23
3154652,113.9
3154775,96.52
3154776,251.77
