iddespesa,alimentacao
860162,60.0
860163,25.88
860172,40.0
860173,24.71
860177,60.0
860178,34.64
860187,70.0
860188,26.8
860210,60.0
860211,35.06
860237,253.7
860240,90.0
860241,35.76
860591,100.0
860597,50.0
860598,37.35
860610,60.0
860611,26.78
860622,30.0
860623,25.27
860630,70.0
860631,37.24
860901,70.0
860902,36.27
860925,60.0
860926,36.46
860940,160.0
860945,341.19
860947,50.0
860948,36.91
860961,151.25
860965,70.0
860966,37.35
861069,400.4
861071,60.0
861072,21.15
861080,70.0
861081,24.51
861089,50.0
861090,36.21
861108,90.0
861109,35.5
861160,60.0
861161,33.55
861177,70.0
861178,36.01
861201,50.0
861202,35.06
861226,50.0
861227,26.27
861251,60.0
861252,24.93
861258,70.0
861259,37.63
861299,60.0
861300,36.54
861323,2489.16
861332,90.0
861333,37.13
861546,2158.0
861628,187.0
861681,2262.0
861732,1924.0
861783,2041.0
861798,60.0
861799,36.4
861818,60.0
861819,35.2
861834,170.0
861840,5970.0
