idreceita,Mensalidades
2434004,92.64
2439118,115.0
2448315,208.248
2448464,233.4677
2449028,219.69
2449345,181.532
2458569,94.818
2435446,195.31
2450392,258.54
2458570,229.93
2458571,235.31
2458572,115.71
2458574,170.12
2458575,183.59
2458576,232.2
2458577,241.93
2458578,127.64
2458579,85.0
2433705,259.11
2434548,195.9326
2438434,97.09
2438448,240.49
2440060,186.34
2440418,135.0
2446283,137.42
2448330,253.06
2448951,225.0
2450643,270.0
2451374,92.87
2462823,225.0
2462862,293.61
2462863,199.34
2462864,197.56
2462865,191.71
2462866,191.71
2462872,86.0
2438475,89.0
2438643,250.64
2438936,236.63
2448846,172.8
2448903,79.0
2449322,244.46
2449581,101.91
2450405,117.004
2450480,177.29
2450828,173.84
2451843,538.15
2451921,197.36
2452027,132.85
2452150,230.97
2453609,170.0
2458580,400.1991
2458583,235.31
2458584,179.48
2458585,244.46
2458586,84.46
2458587,106.26
2458588,241.17
2458589,91.15
2458590,257.28
2458591,342.8
2458592,160.0
2463043,382.19
2463052,232.2
2463054,101.91
2326167,157.7
2340123,127.38
2365855,347.07
2366351,98.68
2371985,133.64
2401992,313.32
2433768,261.93
2434211,211.39
2434488,90.97
2435043,347.07
2435175,88.3311
2436043,97.82
2436164,472.6338
2437021,126.27
2438887,245.0
2439130,209.18
2439229,182.09
2440284,235.16
2440292,209.96
2440424,303.6
2440445,225.72
2446177,190.0
2448205,167.66
2448626,194.01
2448637,120.0
2449208,370.36
2449338,174.18
2449713,244.73
2449753,463.25
2449912,273.24
2449913,187.5427
2449917,208.248
2449941,227.7
2449947,225.0
2450322,171.95
2450324,188.65
2450327,193.74
2450333,242.47
2450347,240.15
2450403,228.65
2450410,231.51
2450424,150.02
2450455,227.7
2450463,84.15
2450464,90.05
2450593,96.71
2450604,251.18
2450672,188.01
2450809,205.72
2450972,89.06
2450995,212.86
2451055,398.17
2451066,192.16
2451084,435.53
2451089,141.98
2451153,100.3
2451253,186.01
2451488,74.99
2452018,80.54
2452120,303.6001
2452445,105.34
2452960,85.0
2454399,160.0
2458655,80.46
2463057,117.0
2463065,92.0
2463068,120.0
2463071,102.92
2463072,249.0
2463074,98.25
2463080,440.0
2463087,97.68
2463089,219.32
2463090,286.0
2463093,214.328
2465510,59.0
2465515,69.0
2465519,303.6001
2465520,92.0
2306836,240.9401
2323999,255.75
2324010,195.43
2324086,96.38
2324504,272.59
2324693,250.25
2325051,238.8101
2335321,176.44
2338949,119.77
2340311,91.64
2341451,188.38
2365834,116.95
2395665,101.27
2398646,139.06
2412572,91.7679
2433545,224.2606
2433582,189.08
2433720,84.46
2433729,269.64
2433776,187.55
2433822,107.8
2433883,90.97
2433912,186.93
2433953,146.79
2433963,100.37
2434879,198.08
2435506,181.61
2435529,236.7401
2435535,270.23
2435664,221.1
2435910,260.5801
2436147,99.68
2436168,295.2401
2436170,199.25
2436376,146.05
2436580,131.74
2437249,82.92
2438290,189.59
2438394,91.2
2438400,260.41
2438819,261.93
2439628,91.23
2439677,216.38
2439983,117.61
2440070,96.68
2440120,211.79
2440153,80.72
2440185,206.11
2440304,172.54
2440359,124.46
2440370,231.62
2440382,277.38
2440386,90.74
2440429,173.34
2440440,213.03
2440444,209.5
2440454,147.53
2440490,290.97
2440508,163.88
2440514,209.96
2440517,229.93
2440529,91.15
2440539,85.0
2440546,159.0
2440557,85.0
2448201,165.83
2448220,253.31
2448228,91.15
2448245,85.0
2448248,87.07
2448251,186.12
2448350,241.93
2448398,130.0
2448429,239.0
2448487,185.18
2448494,86.0
2448528,80.97
2448616,170.0
2448618,188.77
2448657,116.15
2448822,65.0
2448847,187.58
2448917,633.0
2448975,207.3201
2449061,236.96
2449190,88.85
2449332,185.0
2449352,99.0
2449519,182.45
2449619,137.32
2449682,85.0
2449691,185.0
2449695,87.07
2449700,289.69
2450339,448.68
2450340,418.8801
2450417,253.31
2450478,262.96
2450491,535.83
2450497,231.62
2450521,240.55
2450568,105.2
2450569,190.0301
2450582,262.23
2450980,369.83
2451028,164.33
2451215,227.7
2451254,206.34
2451387,189.4101
2451422,105.23
2451482,303.6
2452873,182.7101
2453096,178.7401
2453363,244.46
2453559,303.6
2453651,124.19
2453902,225.0
2453911,89.0
2454435,187.55
2458594,113.4618
2458598,267.228
2458599,96.984
2458601,230.26
2458602,182.32
2458603,564.46
2458604,186.29
2458605,70.41
2458610,85.0
2458611,92.0
2458638,240.15
2458656,128.64
2458666,114.22
2460083,69.0
2462689,245.0
2465522,228.6901
2465524,92.0
2465526,84.46
2465527,210.0
2465529,92.0
2465531,286.0
2465537,92.0
2465540,82.81
2465541,87.82
2465542,87.04
2465543,147.0
2465546,92.0
2465548,94.01
2465549,129.0
2465551,69.84
2465552,100.23
2465554,120.79
2465559,147.0
2465565,286.0
2465566,240.55
2465581,258.18
2465584,77.19
2465586,75.21
2465587,65.0
2465595,168.0
2465597,181.013
2465606,311.13
2465612,92.0
2465617,168.0
2365454,183.54
2365852,98.11
2371984,181.92
2394647,92.37
2422511,139.64
2433505,97.25
2433625,466.45
2433741,245.0
2434187,127.84
2434673,212.6785
2435179,205.03
2436372,97.5
2436449,219.89
2436527,231.86
2436804,114.72
2437674,99.87
2438392,281.46
2438708,213.18
2438989,99.9
2438990,203.61
2439659,179.5
2439764,91.15
2439796,224.0
2439820,94.29
2439969,91.15
2439995,321.23
2440072,95.64
2440170,138.024
2440231,181.93
2440272,136.44
2440293,242.13
2440357,466.35
2440503,125.0
2440525,223.91
2440533,130.97
2444579,183.06
2448112,286.0
2448150,140.0
2448157,165.55
2448159,192.23
2448166,253.31
2448168,270.0
2448198,225.0
2448263,221.18
2448267,132.87
2448405,79.0
2448500,177.68
2448525,194.02
2448543,168.06
2448557,219.32
2448560,79.0
2448610,85.0
2448614,300.0
2448643,92.06
2448675,306.98
2448679,225.0
2448795,231.62
2448865,262.46
2448882,262.46
2448890,123.11
2448909,251.4
2449032,168.71
2449038,240.55
2449106,179.0
2449118,164.66
2449154,208.47
2449176,163.75
2449194,217.24
2449204,150.02
2449282,267.39
2449294,144.28
2449310,241.93
2449339,276.51
2449438,127.39
2449485,84.46
2449532,412.73
2449590,262.46
2449597,240.55
2449617,197.76
2449679,139.18
2449723,130.0
2449814,190.39
2449919,175.33
2450318,425.04
2450320,81.82
2450325,96.29
2450331,191.1
2450332,240.62
2450337,334.36
2450341,243.73
2450353,92.06
2450354,262.2
2450355,222.37
