iddespesa,alimentacao
505476,50.0
505698,24.0
505699,12.0
505700,24.0
505701,72.0
505702,12.0
505703,12.0
505176,132.0
505177,144.0
505178,180.0
505179,180.0
505180,276.0
505181,276.0
505182,144.0
505183,180.0
505184,276.0
505185,276.0
505186,276.0
505187,276.0
505188,276.0
505189,240.0
505190,276.0
505191,180.0
505192,180.0
505193,276.0
505194,276.0
505195,192.0
505196,180.0
505197,192.0
505198,180.0
505199,144.0
505200,144.0
505201,180.0
505202,144.0
505203,180.0
505204,180.0
505205,192.0
505206,168.0
505207,144.0
505208,276.0
505209,276.0
505737,2480.18
505709,1252.85
505718,552.0
505724,2544.0
505735,50.0
