iddespesa,alimentacao
851948,170.0
851947,748.6
851939,34.14
851890,2262.0
851938,60.0
851937,250.47
851932,34.98
851931,50.0
851924,286.0
851917,35.23
851916,60.0
851184,33.87
851183,60.0
851175,34.36
851174,50.0
851171,24.6
851170,60.0
851164,24.52
851774,1950.0
851163,60.0
851152,162.0
851145,35.17
851144,40.0
851136,35.82
851135,60.0
851130,24.27
851129,60.0
851118,34.33
851117,70.0
851039,34.79
851038,50.0
851035,25.06
851033,40.0
851004,25.09
851001,70.0
850988,24.05
851671,1950.0
850987,50.0
849617,170.0
849610,35.55
849609,40.0
849606,158.42
849596,37.54
849595,50.0
849587,35.77
849586,60.0
849573,36.64
849572,50.0
849568,21.39
849567,50.0
849559,24.33
851579,2184.0
849558,60.0
849552,193.9
849543,36.56
849542,50.0
849541,35.88
851958,7440.0
849540,70.0
849517,33.7
849516,50.0
849359,34.22
849358,60.0
849353,476.0
849334,35.33
849333,50.0
849332,109.0
849301,25.85
849300,60.0
849288,24.87
851382,2145.0
849287,50.0
849267,36.31
849266,60.0
