idreceita,Mensalidades
548871,440.0
492879,84.46
493286,227.5
494535,223.06
494747,216.648
498543,231.49
498639,215.25
499561,79.11
547941,85.0
489161,202.99
497773,158.97
488597,87.45
498484,88.85
499440,94.83
553372,125.69
492862,220.77
487383,199.23
499095,197.37
492749,233.05
494619,127.0
493713,138.53
496481,220.67
500343,207.23
495001,201.94
500422,233.32
492839,106.49
496057,234.06
495633,209.93
493706,190.38
499591,213.04
493330,189.34
494930,457.4
500411,355.53
492419,201.19
500697,248.47
500676,187.24
494264,222.84
494879,110.36
496970,222.84
497860,90.64
493543,245.5
492709,245.5
499156,72.59
494437,124.71
496648,81.44
490224,96.37
492871,151.83
495646,166.46
495185,133.34
492928,236.7
496371,195.11
498039,245.25
495809,161.32
500316,245.25
494673,172.22
497167,86.11
494040,86.11
494041,86.11
491159,123.69
496089,122.45
496663,241.93
492875,251.93
499766,86.58
497403,171.4
496787,86.3
498470,84.46
496791,84.46
497981,84.46
492851,85.0
490505,128.88
489731,70.95
490717,81.44
496066,85.0
498149,195.0
500125,130.0
495934,234.0
500517,89.0
496643,225.0
496730,70.64
495937,79.0
500260,79.0
495656,79.0
494848,79.0
498347,135.0
498760,85.0
498199,85.0
494115,89.0
497746,89.0
494352,110.0
497059,210.0
495729,79.0
487259,91.91
509874,285.0
509931,107.18
520610,255.0
498551,86.6
497355,181.94
492267,88.47
546770,89.0
546771,89.0
547526,89.0
547564,270.0
547801,79.0
550466,80.72
550876,225.0
498851,276.83
551100,129.0
551090,79.0
550973,110.0
551032,79.0
551632,888.08
503704,135.0
503705,135.0
503706,130.0
553374,358.99
495842,91.15
495554,439.92
493868,225.6995
498052,89.0
499227,225.72
553376,156.7301
500520,285.0
499758,225.72
496213,270.0
553381,209.96
495864,228.65
498612,241.93
496795,69.0
492593,117.95
490432,89.0
550772,89.0
553383,253.31
493386,241.93
553384,353.0
496135,106.75
496235,96.88
499223,155.78
499488,124.36
496205,205.64
496032,89.0
498861,91.91
553386,183.04
553387,78.1
553388,93.17
553391,155.89
553392,161.76
553393,141.2
553396,157.28
498716,245.5
495832,225.0
553398,96.98
498022,198.0
551791,85.0
497142,84.46
553400,60.0
492673,89.0
553402,104.1
553403,104.11
553404,88.85
498834,84.46
553406,178.71
498910,285.0
521125,120.0
498931,90.8224
550666,128.0
497235,172.22
494903,254.55
520794,110.0
499514,110.23
497133,161.37
500347,88.85
494808,81.85
495278,120.0
496748,162.22
497599,106.26
499915,215.25
500558,218.248
521181,225.0
551269,99.0
551337,270.0
494997,126.57
492495,212.86
