iddespesa,alimentacao
520505,60.0
520154,192.0
520155,144.0
520156,264.0
520157,288.0
520158,144.0
520159,180.0
520160,300.0
520161,288.0
520162,192.0
520163,192.0
520164,288.0
520165,192.0
520166,180.0
520167,192.0
520168,192.0
520169,144.0
520170,288.0
520171,288.0
520172,288.0
520173,144.0
520174,192.0
520175,156.0
520176,288.0
520177,288.0
520178,180.0
520179,144.0
520180,180.0
520181,288.0
520182,192.0
520183,192.0
520184,288.0
520185,180.0
520186,144.0
520187,288.0
520188,192.0
520189,2338.0
520875,1533.66
520871,55.0
520865,112.0
521014,2743.22
521025,472.0
520934,90.0
520932,55.0
