iddespesa,alimentacao
503128,138.0
503058,108.0
503059,300.0
503062,144.0
503063,312.0
503064,300.0
503065,180.0
503066,300.0
503067,300.0
503068,300.0
503069,300.0
503070,300.0
503071,300.0
503072,300.0
503073,300.0
503074,300.0
503075,300.0
503076,276.0
503077,180.0
503078,180.0
503079,180.0
503080,180.0
503081,180.0
503082,192.0
503083,192.0
503084,192.0
503085,192.0
503086,192.0
503087,192.0
503088,144.0
503089,144.0
503090,144.0
503091,144.0
503092,216.0
503093,156.0
503094,288.0
503095,228.0
503187,2837.0
503252,100.0
503255,991.5
503306,2610.76
