iddespesa,alimentacao
504506,50.0
504567,837.39
504552,2760.0
504580,12.0
504636,48.0
504570,2513.41
504571,240.0
504323,916.25
504490,120.0
504267,300.0
504268,300.0
504269,300.0
504270,300.0
504271,300.0
504272,300.0
504273,300.0
504274,300.0
504275,300.0
504276,300.0
504277,300.0
504280,300.0
504281,300.0
504282,300.0
504283,180.0
504284,180.0
504285,180.0
504286,180.0
504287,180.0
504288,180.0
504289,192.0
504290,192.0
504291,192.0
504292,192.0
504293,192.0
504295,192.0
504296,168.0
504297,168.0
504298,168.0
504299,24.0
504300,144.0
504301,144.0
504302,144.0
504303,144.0
504304,264.0
504656,76.58
504644,77.9
