iddespesa,alimentacao
469627,12.0
469628,24.0
469629,12.0
469630,12.0
469632,96.0
469633,84.0
469634,108.0
469635,80.9
469636,79.9
469637,53.48
469638,55.4
469905,84.0
469909,192.0
469910,168.0
469911,192.0
469912,192.0
469913,192.0
469914,192.0
469915,300.0
469916,300.0
469917,276.0
469918,300.0
469919,300.0
469920,300.0
469921,300.0
469922,180.0
469923,168.0
469924,300.0
469925,300.0
469926,300.0
469927,300.0
469929,180.0
469930,300.0
469931,300.0
469932,180.0
469933,324.0
469934,180.0
469935,324.0
469936,180.0
469937,192.0
469938,180.0
469939,180.0
469940,300.0
469941,252.0
469942,192.0
469943,180.0
469716,12.0
469717,84.0
469718,84.0
469719,81.94
470255,84.0
470398,39.0
470393,12.0
470394,81.03
470239,80.62
470240,79.54
470241,108.9
470432,15.0
470433,15.0
470434,165.0
470435,12.0
470436,12.0
470437,12.0
470438,45.0
470441,96.0
470442,96.0
470443,24.0
470444,60.61
470445,50.61
470446,86.72
469994,108.0
469888,108.0
469889,72.0
469890,24.0
469896,108.42
469897,81.13
469898,54.99
469899,52.25
469900,79.6
469880,12.0
469881,12.0
469882,12.0
469883,12.0
469884,12.0
470228,12.0
470229,12.0
470230,12.0
470231,120.0
470232,96.0
471369,84.0
471360,96.0
471420,96.0
471415,12.0
471416,12.0
471417,80.6
471349,12.0
471279,12.0
471280,12.0
471284,96.0
471285,24.0
471286,12.0
471287,54.18
471288,51.89
471289,79.5
471290,22.99
471358,81.48
471248,12.0
471253,15.0
471254,96.0
471255,96.0
471256,80.73
470990,80.59
470991,26.96
470986,12.0
470981,108.0
470982,96.0
471090,12.0
471091,12.0
471092,12.0
471095,84.0
471097,80.31
471098,109.18
470600,1108.1
470598,12.0
470603,12.0
470604,96.0
470605,96.0
470606,80.24
470926,79.52
470927,52.16
470928,54.5
470929,80.05
470930,109.09
470912,12.0
470913,12.0
470914,12.0
470915,12.0
470916,12.0
470917,24.0
470918,84.0
470919,120.0
470922,72.0
470923,12.0
470610,300.0
470707,96.0
470626,79.56
470627,18.57
470624,12.0
