iddespesa,alimentacao
476926,96.0
476927,12.0
476928,105.0
476929,12.0
476930,107.92
476947,80.01
476948,44.0
476949,85.0
476950,96.0
476951,12.0
476956,12.0
476957,72.0
476959,58.08
476965,55.21
476966,24.0
476967,12.0
476968,12.0
476969,81.57
476970,96.0
476971,12.0
476972,80.1
477027,12.0
477028,84.0
477029,15.0
477034,12.0
477035,108.0
477038,12.0
477039,79.76
477041,120.0
477282,144.0
477288,12.0
477289,132.0
477290,15.0
477297,80.23
477298,108.0
477299,240.0
477593,79.53
477595,132.0
477604,84.0
477607,79.71
477615,12.0
477616,15.0
477627,192.0
477628,108.0
477630,108.33
477631,12.0
477634,108.23
477635,128.8
477645,300.0
477646,240.0
477647,168.0
477648,192.0
477649,264.0
477650,192.0
477651,132.0
477652,132.0
477653,192.0
477654,300.0
477655,192.0
477656,192.0
477657,300.0
477658,288.0
477659,288.0
477660,276.0
477661,300.0
477662,300.0
477663,265.0
477665,96.0
477667,12.0
477670,24.0
477672,12.0
477673,54.94
477677,80.5
477678,12.0
477679,120.0
477686,132.0
477687,120.0
477688,79.68
477689,12.0
477696,12.0
477697,192.0
477698,192.0
477699,180.0
477700,264.0
477701,240.0
478052,12.0
478056,12.0
478058,55.61
478059,24.0
478060,12.0
478062,108.0
478064,79.92
478065,12.0
478067,12.0
478068,81.05
478069,15.0
478070,84.0
478071,500.0
478075,12.0
478076,82.16
478077,120.0
478081,12.0
478082,96.0
478083,111.17
478161,12.0
478164,108.0
478165,78.93
478168,12.0
478169,59.75
478171,48.0
478172,24.0
478173,12.0
478180,74.48
478183,84.0
478212,12.0
478215,15.0
478216,82.58
478242,120.0
478243,82.62
478244,500.0
478245,12.0
478250,12.0
478255,111.9
478256,108.0
478266,180.0
478267,144.0
478270,58.5
478272,72.0
478281,82.79
478282,12.0
478283,108.0
478284,242.7
