iddespesa,alimentacao
517546,2112.0
518077,2825.82
517177,1650.9
516988,192.0
516989,180.0
516990,192.0
516991,144.0
516992,276.0
516993,300.0
516994,180.0
516995,192.0
516996,144.0
516997,192.0
516998,180.0
516999,156.0
517000,180.0
517001,300.0
517002,144.0
517003,300.0
517004,144.0
516910,168.0
516911,264.0
516912,144.0
516913,300.0
516914,144.0
516915,300.0
516916,180.0
516917,192.0
516918,300.0
516919,192.0
516920,300.0
516921,192.0
516922,300.0
516924,144.0
516925,240.0
516926,300.0
516927,252.0
516928,300.0
517970,0.0
517979,276.0
517996,152.0
517992,82.0
518109,48.0
518094,540.61
