idreceita,Mensalidades
167836,72.0
192088,262.0
192087,262.0
192089,262.0
192090,262.0
192091,66.75
192092,66.16
101384,428.2173
103645,279.44
154794,163.7084
157698,314.0
148927,145.0
78097,131.76
100243,69.88
103912,70.0
62844,129.0
76300,219.25
100119,160.31
108493,308.64
109302,250.34
62342,176.02
112992,160.31
116092,117.49
116113,172.73
116848,94.0
106708,104.27
119555,73.0
120172,93.0
116334,179.67
131895,74.66
98308,92.05
89628,74.66
89623,160.31
114721,110.58
134858,162.76
144548,68.0
145412,89.0
155334,96.0
162958,232.0
187425,354.0
108628,82.3
185980,123.0
192113,125.16
192114,122.27
192249,177.0
192252,313.46
192251,177.0
108593,168.81
108594,164.0
119644,74.664
167329,86.95
167392,176.05
167394,176.05
167395,176.05
167397,89.0
167399,113.0
167400,145.0
167800,72.0
167809,72.0
167827,96.0
167845,322.0
68944,117.094
141833,74.664
186192,74.664
186193,176.05
186194,73.0
186195,120.0
186196,89.0
186197,177.0
167918,72.0
189989,145.0
58585,191.308
186198,155.66
118243,73.0
186199,174.66
186202,164.0
186203,68.0
186204,68.0
186206,145.0
186207,161.0
186208,328.0
186209,96.0
168187,72.0
187374,177.0
62874,300.0065
186210,74.664
186212,360.144
186213,195.38
186214,68.0
108597,68.0
186216,120.0
186218,68.0
120190,120.0
120242,120.0
157808,157.0
168279,177.0
187548,96.0
192268,253.0
186602,72.0
159346,72.0
192278,96.0
192285,166.88
122117,180.07
150113,138.8508
191831,177.0
192301,116.05
66791,81.98
185772,157.0
55973,308.64
79838,176.02
70342,307.15
102638,172.09
103904,69.48
103910,116.46
104662,68.0
62886,176.02
62932,180.79
106116,114.0
106591,81.0
106778,160.31
107476,164.41
67620,176.02
68174,329.46
109275,147.27
109276,146.07
109550,90.04
68723,86.81
112864,163.81
113013,74.66
113020,145.76
114079,74.66
73313,83.83
114125,74.66
114132,90.04
85779,180.84
76346,93.37
76347,92.47
76348,90.04
118175,91.32
118213,89.0
119877,74.66
120370,89.0
120341,164.0
120556,176.02
120563,144.67
120570,86.81
121316,152.94
122155,137.56
127935,69.5
127924,136.0
122160,176.05
120384,215.77
130602,97.66
119865,73.0
121783,73.0
131978,144.83
89877,74.66
85806,176.02
57133,91.21
94999,75.95
85154,91.63
85496,320.19
138254,93.0
140781,347.0
143827,352.11
149363,93.0
151149,68.0
153949,183.0
155013,72.0
157181,145.0
158159,72.0
104880,160.31
162920,123.0
162985,96.0
162997,87.0
164323,195.0
89591,142.74
120663,120.0
131018,210.0
133316,160.31
99009,93.0
167889,177.0
168174,144.0
168217,72.0
133567,79.06
131319,68.0
119321,95.64
85542,74.66
85551,74.66
110263,96.08
187052,177.0
187398,113.0
187560,177.0
120609,81.98
133265,103.21
100263,140.84
187890,87.0
120610,75.95
120611,81.33
156970,72.0
105757,168.5592
145286,164.0
120639,89.0
118689,100.9558
192311,134.0
192313,62.19
120512,164.0
99589,166.4545
167371,145.0
186222,73.0
186224,164.0
186225,81.0
186227,164.0
154281,100.0
112305,424.6255
192451,72.0
120328,79.06
192462,72.0
192472,165.39
192473,163.95
167385,179.8878
192483,177.0
192496,131.03
55190,169.53
71556,148.12
77657,176.02
102386,316.71
86120,81.98
104407,120.0
104647,164.0
104650,328.0
104693,179.59
85172,162.76
84974,131.76
104844,93.0
104898,160.31
95343,107.04
105459,156.73
108834,145.0
109511,164.0
111057,68.0
111165,181.79
111166,180.29
94914,166.06
108030,167.38
114066,82.64
117257,176.02
117666,69.76
118139,69.76
76371,92.5
120358,89.0
121110,90.8
79614,148.8
79615,144.67
130985,179.62
120845,220.7
101486,160.31
100127,160.31
120660,160.31
133202,172.09
133452,352.04
123115,179.69
120826,122.32
55630,370.58
94994,265.38
90859,75.95
86253,133.82
79527,93.73
140675,164.0
145082,89.0
145083,89.0
146134,68.0
153384,208.44
153486,72.0
153731,87.0
127956,199.94
120392,132.53
157722,177.0
163326,253.0
164006,144.0
165395,319.0
91290,279.11
166141,177.0
87718,103.21
116695,89.0
118201,89.0
168754,130.0
168755,130.0
168731,177.0
168970,145.0
169420,577.0
119429,69.46
185036,144.0
185203,157.0
185268,354.0
133255,300.58
187375,177.0
157699,314.0
167276,91.31
57242,165.055
192499,89.1576
102633,131.76
102622,74.66
86080,176.13
117738,145.0
192708,177.0
192710,136.22
192711,136.22
158114,100.0
146266,109.65
146267,108.68
146268,107.73
192715,74.65
167393,172.83
104724,74.664
