iddespesa,alimentacao
30233,28.54
30220,30.1
30201,27.12
30176,29.82
30151,29.25
30128,27.91
30107,42.37
30092,29.27
30075,48.33
30043,28.56
30016,28.08
30014,27.59
29984,30.51
29957,35.77
29932,34.7
29891,35.01
29868,1073.94
30024,37.0
29873,3024.0
29836,29.64
29824,28.1
29788,2992.0
29785,1104.0
29780,29.39
29764,928.0
29758,29.25
29753,28.48
29837,73.94
29752,27.79
29755,29.13
29786,35.48
