iddespesa,alimentacao
812729,170.0
812727,1482.0
812726,34.95
812725,40.0
812724,221.3
812715,203.0
812710,34.41
812709,38.0
812705,91.79
812703,34.71
812702,60.0
812694,35.74
812693,60.0
812691,60.0
812684,24.49
812683,60.0
812677,32.0
812250,34.19
812248,50.0
812242,73.8
812236,34.76
812235,40.0
812225,35.12
812224,70.0
812216,24.54
812215,60.0
812209,24.27
812208,50.0
812203,2210.0
812198,12.98
812191,170.0
812147,34.82
812146,60.0
812141,29.0
812140,91.44
812105,34.33
812104,60.0
812102,47.0
812095,35.85
812094,50.0
812091,40.9
812087,152.95
812035,36.29
812034,50.0
812032,53.9
812028,5.0
812024,34.9
812023,50.0
812021,24.05
812020,40.0
812015,23.73
812014,70.0
812011,2184.0
811949,34.95
811948,50.0
811933,4.0
811930,25.0
811922,34.08
812732,6080.0
811921,70.0
811896,35.55
811895,70.0
811470,41.25
811455,34.0
811454,60.0
811440,33.87
811439,40.0
811402,27.56
811401,70.0
811396,23.46
811395,70.0
811383,2587.0
811380,26.88
811377,36.5
811376,60.0
812343,24.84
812342,50.0
812340,1923.0
812337,34.17
812336,80.0
812332,35.14
812331,70.0
