iddespesa,alimentacao
28621,59.0
28619,108.34
28605,401.95
28592,559.28
28527,90.45
28522,515.94
28524,106.25
28571,13.0
28420,2560.5
28561,389.65
28529,1141.08
28567,60.46
28446,50.0
28411,2144.5
