idreceita,Mensalidades
4440,144.0
12417,177.0
14306,96.0
14344,74.0664
17946,96.0
9657,72.0
9670,177.0
9681,145.0
2114,216.67
13152,87.0
18912,195.0
7377,195.0
14363,192.0
7234,72.0
17967,96.0
17970,229.0
1234,157.0
13742,148.52
13743,147.32
18918,188.99
18919,166.917
2192,354.0
18920,96.0
18923,96.0
9301,73.5912
18924,72.0
7065,180.59
11468,73.66
6168,160.42
6172,148.16
15408,73.55
10723,195.0
2756,92.14
2196,177.0
13270,72.0
14544,72.0
17643,135.0
15162,73.72
15141,73.72
6451,73.57
4940,177.0
15351,164.26
13838,177.0
17648,100.0
18933,177.0
13789,195.0
13809,72.0
5170,113.0
3875,134.35
11138,72.0
11239,160.0
17486,220.0
17621,124.0
17739,110.0
11345,211.93
3843,74.43
15069,74.84
15070,74.22
13277,74.04
13278,72.0
18945,162.5
14938,446.0
11106,66.1
12490,177.0
1663,450.0
9719,123.0
18947,367.83
1669,162.5
11779,162.5
11403,177.0
18965,144.0
13245,177.0
11705,100.0
17667,87.0
17996,210.0
15235,96.0
18971,111.4
18972,78.97
18973,86.04
2384,177.0
2230,72.0
14436,72.0
14421,195.0
5146,177.0
5150,72.0
9950,72.0
10073,72.0
2387,123.0
1675,72.0
18011,216.0
7050,182.03
5399,72.0
5890,123.0
11359,110.0
13860,358.0
13869,215.0
13986,144.0
14600,72.0
12518,72.0
15243,330.0
15365,195.0
17693,216.0
18980,133.12
18982,130.0
4952,166.0425
18680,72.0
18986,51.9
18987,51.48
13054,626.0598
18988,180.86
18990,195.0
18989,195.0
10739,195.0
18991,180.1519
18993,195.0
18994,177.0
18998,72.0
19001,195.0
14160,72.0
19004,202.59
19006,195.0
19005,195.0
9881,86.0
8812,177.0
8824,177.0
14485,100.0
18000,157.0
18040,157.0
14441,113.26
15347,237.35
5143,100.0
6124,113.0
4187,162.5
3869,195.0
2558,72.0
14568,72.0
17595,96.0
18030,195.0
14911,73.5
18909,73.38
15124,73.57
12500,72.01
12906,135.0
3572,166.53
19014,184.9242
3545,67.5608
19015,72.0
15303,145.0
13936,157.0
14054,253.0
14504,354.0
14515,177.0
8816,484.0
2417,157.0
2416,113.0
10103,87.0
1219,157.0
19016,72.0
19018,96.12
19019,96.12
19020,96.12
19021,195.0
13320,110.0
15216,199.08
9725,73.87
14757,282.0
12563,145.0
11622,177.0
14580,177.0
2396,93.839
10568,195.0
13750,106.0
13979,72.0
14709,207.0
18622,195.0
10540,199.18
13055,657.39
17818,73.98
10246,181.2834
7230,126.7776
19029,195.0
670,67.7392
12798,195.0
19040,145.98
7562,135.0
9469,72.0
10314,350.0
4973,72.0
2552,162.5
11101,144.14
13904,195.0
14946,195.0
14737,72.0
15358,110.0
17491,72.0
18051,195.0
17853,199.13
12509,199.251
6345,104.34
6719,103.41
6720,102.57
9573,213.0
14630,177.0
2753,254.31
10325,354.0
10265,177.0
12625,354.0
15329,354.0
10177,177.0
10367,177.0
10366,157.0
19047,269.0
19048,139.56
19049,155.66
19050,145.0
12480,176.8233
10920,195.0
13993,135.0
17791,72.0
9191,177.0
19059,172.09
19063,139.94
19064,137.56
19066,144.0
5882,113.0
5886,130.0
4997,177.0
13106,72.0
17615,99.13
19069,173.0
13394,72.0
19070,330.0
19071,100.0
19072,103.06
13412,177.0
13421,130.0
9184,249.0
10361,289.0
18632,130.0
10640,157.0
11878,148.43
17783,177.0
18654,244.0
12718,289.0
11190,112.93
15398,157.0
11995,157.0
14799,177.0
12022,177.0
14087,96.0
18696,72.0
19079,238.4
19080,123.0
6179,117.33
6180,116.38
19081,187.5
4432,116.1753
12763,176.62
19084,172.15
7222,146.5035
4646,130.0
13535,72.0
14287,72.0
17754,72.0
19085,72.0
17953,98.35
19091,284.48
19092,162.5
19094,80.0784
15440,177.0
17467,195.0
19104,72.0
6145,130.0
6148,96.0
6169,157.0
6173,145.0
6481,72.0
1885,177.0
12772,72.0
14250,96.0
15435,72.0
15415,394.0
17510,72.0
17828,195.0
18277,72.0
18757,173.0
14573,74.17
7777,173.0
5863,74.2
5867,74.2
17748,127.82
17749,124.0
12095,177.0
15419,199.02
14100,72.0
14952,73.25
19111,334.0
12579,73.9368
19117,96.0
18709,135.0
17874,249.0
17868,100.0
18753,260.0
14877,177.0
7912,74.1528
7913,72.0
12894,72.0
14939,446.0
12047,74.2
12048,73.53
19122,177.0
19123,172.09
14820,72.0
19125,157.0
2226,79.87
2222,66.1
2218,145.12
11089,79.87
14132,195.0
14906,72.0
2865,155.72
17472,339.0
18702,144.03
13956,98.9
13310,100.0224
13311,99.216
19131,195.0
6468,161.7414
19136,200.187
8542,177.0
8011,100.0
12193,177.0
13633,96.0
17914,177.0
14190,334.0
18803,177.0
17530,145.0
12316,112.0
18672,135.0
19147,144.0
9911,184.23
2999,72.0
2158,177.0
4664,177.0
12214,106.0
17516,368.0
17908,72.0
17924,195.0
18183,143.0
18817,346.0
10997,162.5
14786,73.6344
14923,177.0
14932,177.0
11416,72.0
17534,195.0
17938,72.0
11611,73.53
14574,73.66
14567,73.66
7661,98.21
13257,72.0
18436,195.0
19160,355.0
19158,195.0
13056,607.0
19172,96.0
13036,177.0
13044,177.0
13715,177.0
14977,87.0
19178,177.0
19179,72.0
9759,72.0
18562,220.0
18832,143.0
13949,199.78
15450,199.43
19188,72.0
19194,195.0
18865,130.0
9767,145.0
7066,177.0
9626,106.0
9771,72.0
17553,106.0
17854,199.19
1139,145.0
4441,144.0
6968,72.0
18889,130.0
8294,224.0
1251,177.0
